Dash,DASH,$55.62,https://coinmarketcap.com/currencies/dash/
IOTA,MIOTA,$0.22,https://coinmarketcap.com/currencies/iota/
Gemini Dollar,GUSD,$1.00,https://coinmarketcap.com/currencies/gemini-dollar/
eCash,XEC,$0.00,https://coinmarketcap.com/currencies/ecash/
BitTorrent(New),BTT,$0.00,https://coinmarketcap.com/currencies/bittorrent-new/
Huobi Token,HT,$3.59,https://coinmarketcap.com/currencies/huobi-token/
GateToken,GT,$5.37,https://coinmarketcap.com/currencies/gatetoken/
XDC Network,XDC,$0.04,https://coinmarketcap.com/currencies/xinfin/
PAX Gold,PAXG,$2015.72,https://coinmarketcap.com/currencies/pax-gold/
THORChain,RUNE,$1.59,https://coinmarketcap.com/currencies/thorchain/
Trust Wallet Token,TWT,$1.23,https://coinmarketcap.com/currencies/trust-wallet-token/
SingularityNET,AGIX,$0.39,https://coinmarketcap.com/currencies/singularitynet/
Render Token,RNDR,$1.31,https://coinmarketcap.com/currencies/render-token/
Loopring,LRC,$0.35,https://coinmarketcap.com/currencies/loopring/
Casper,CSPR,$0.04,https://coinmarketcap.com/currencies/casper/
Zilliqa,ZIL,$0.03,https://coinmarketcap.com/currencies/zilliqa/
Injective,INJ,$5.65,https://coinmarketcap.com/currencies/injective/
1inch Network,1INCH,$0.53,https://coinmarketcap.com/currencies/1inch/
Enjin Coin,ENJ,$0.43,https://coinmarketcap.com/currencies/enjin-coin/
Flare,FLR,$0.03,https://coinmarketcap.com/currencies/flare/
Kava,KAVA,$0.88,https://coinmarketcap.com/currencies/kava/
Fei USD,FEI,$0.97,https://coinmarketcap.com/currencies/fei-usd/
Basic Attention Token,BAT,$0.27,https://coinmarketcap.com/currencies/basic-attention-token/
Convex Finance,CVX,$5.31,https://coinmarketcap.com/currencies/convex-finance/
Mask Network,MASK,$5.45,https://coinmarketcap.com/currencies/mask-network/
dYdX,DYDX,$2.43,https://coinmarketcap.com/currencies/dydx/
